link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title
https://www.1tv.am/hy/video/Հարցազրույց-Արթուր-Հովհաննիսյանի-հետ/202968,https://www.youtube.com/embed/FbixpM1p6Ys?autoplay=1&autohide=1,Հարցազրույց Արթուր Հովհաննիսյանի հետ,21:45,"21 Սեպ, 2022",21,Սեպ,2022,09,2022-09-21,արթուր հովհաննիսյան
https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Ռուբինյանի-հետ/202791,https://www.youtube.com/embed/RF5FMkcVW1c?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Ռուբինյանի հետ,21:20,"19 Սեպ, 2022",19,Սեպ,2022,09,2022-09-19,ռուբեն ռուբինյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդուարդ-Աղաջանյանի-հետ/202795,https://www.youtube.com/embed/vazSpwziDg4?autoplay=1&autohide=1,Հարցազրույց Էդուարդ Աղաջանյանի հետ,20:20,"19 Սեպ, 2022",19,Սեպ,2022,09,2022-09-19,էդուարդ աղաջանյան
https://www.1tv.am/hy/video/Հարցազրույց-Կարին-Տոնոյանի-հետ/202699,https://www.youtube.com/embed/pFgBw9PTEfQ?autoplay=1&autohide=1,Հարցազրույց Կարին Տոնոյանի հետ,20:40,"17 Սեպ, 2022",17,Սեպ,2022,09,2022-09-17,կարին տոնոյան
https://www.1tv.am/hy/video/Հարցազրույց-Ալեն-Սիմոնյանի-հետ/202692,https://www.youtube.com/embed/VD38TZla1Zk?autoplay=1&autohide=1,Հարցազրույց Ալեն Սիմոնյանի հետ,21:40,"16 Սեպ, 2022",16,Սեպ,2022,09,2022-09-16,ալեն սիմոնյան
https://www.1tv.am/hy/video/Հարցազրույց-Վահան-Քերոբյանի-հետ/202681,https://www.youtube.com/embed/Tp7vQJEE2KM?autoplay=1&autohide=1,Հարցազրույց Վահան Քերոբյանի հետ,20:40,"16 Սեպ, 2022",16,Սեպ,2022,09,2022-09-16,վահան քերոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Տիգրան-Հակոբյանի-հետ/202671,https://www.youtube.com/embed/-hwqCwEDGUw?autoplay=1&autohide=1,Հարցազրույց Տիգրան Հակոբյանի հետ,20:35,"16 Սեպ, 2022",16,Սեպ,2022,09,2022-09-16,տիգրան հակոբյան
https://www.1tv.am/hy/video/Հարցազրույց-Արամ-Սարգսյանի-հետ/202665,https://www.youtube.com/embed/j7-GITChV2E?autoplay=1&autohide=1,Հարցազրույց Արամ Սարգսյանի հետ,21:40,"15 Սեպ, 2022",15,Սեպ,2022,09,2022-09-15,արամ սարգսյան
https://www.1tv.am/hy/video/Հարցազրույց-Գևորգ-Պապոյանի-հետ/202669,https://www.youtube.com/embed/faqXxD-VGjc?autoplay=1&autohide=1,Հարցազրույց Գևորգ Պապոյանի հետ,21:40,"15 Սեպ, 2022",15,Սեպ,2022,09,2022-09-15,գևորգ պապոյան
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/202657,https://www.youtube.com/embed/3eW3KmzpS1Q?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,21:40,"14 Սեպ, 2022",14,Սեպ,2022,09,2022-09-14,հայկ կոնջորյան
https://www.1tv.am/hy/video/Հարցազրույց-Անդրանիկ-Քոչարյանի-հետ/202655,https://www.youtube.com/embed/gAeqX7_XaYg?autoplay=1&autohide=1,Հարցազրույց Անդրանիկ Քոչարյանի հետ,21:40,"14 Սեպ, 2022",14,Սեպ,2022,09,2022-09-14,անդրանիկ քոչարյան
https://www.1tv.am/hy/video/Հարցազրույց-Արմեն-Գրիգորյանի-հետ/202653,https://www.youtube.com/embed/vfz9xgc5Sbo?autoplay=1&autohide=1,Հարցազրույց Արմեն Գրիգորյանի հետ,21:35,"14 Սեպ, 2022",14,Սեպ,2022,09,2022-09-14,արմեն գրիգորյան
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/202647,https://www.youtube.com/embed/4XFM0Ehlwko?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,21:30,"14 Սեպ, 2022",14,Սեպ,2022,09,2022-09-14,վահագն ալեքսանյան
https://www.1tv.am/hy/video/Հարցազրույց-Էդմոն-Մարուքյանի-հետ/202608,https://www.youtube.com/embed/woD9H1RDZcQ?autoplay=1&autohide=1,Հարցազրույց Էդմոն Մարուքյանի հետ,21:35,"13 Սեպ, 2022",13,Սեպ,2022,09,2022-09-13,էդմոն մարուքյան
https://www.1tv.am/hy/video/Հարցազրույց-Պետրոս-Ղազարյանի-հետ/202589,https://www.youtube.com/embed/pxf1qOJReHw?autoplay=1&autohide=1,Հարցազրույց Պետրոս Ղազարյանի հետ,23:00,"12 Սեպ, 2022",12,Սեպ,2022,09,2022-09-12,պետրոս ղազարյան
https://www.1tv.am/hy/video/Հարցազրույց-Արայիկ-Հարությունյանի-հետ/202574,https://www.youtube.com/embed/yh_2SkO2-Zw?autoplay=1&autohide=1,Հարցազրույց Արայիկ Հարությունյանի հետ,21:55,"12 Սեպ, 2022",12,Սեպ,2022,09,2022-09-12,արայիկ հարությունյան
https://www.1tv.am/hy/video/Հարցազրույց-Ստյոպա-Սաֆարյանի-հետ/202454,https://www.youtube.com/embed/9hewoBoX-HQ?autoplay=1&autohide=1,Հարցազրույց Ստյոպա Սաֆարյանի հետ,21:30,"09 Սեպ, 2022",09,Սեպ,2022,09,2022-09-09,ստյոպա սաֆարյան
https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Թորոսյանի-հետ/202448,https://www.youtube.com/embed/sQAZtDlr8ao?autoplay=1&autohide=1,Հարցազրույց Արսեն Թորոսյանի հետ,21:45,"08 Սեպ, 2022",08,Սեպ,2022,09,2022-09-08,արսեն թորոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Գնել-Սանոսյանի-հետ/202370,https://www.youtube.com/embed/028j8D8CR9I?autoplay=1&autohide=1,Հարցազրույց Գնել Սանոսյանի հետ,21:15,"07 Սեպ, 2022",07,Սեպ,2022,09,2022-09-07,գնել սանոսյան
https://www.1tv.am/hy/video/Հարցազրույց-Մեսրոպ-Առաքելյանի-հետ/202330,https://www.youtube.com/embed/bR5EfsjAQJw?autoplay=1&autohide=1,Հարցազրույց Մեսրոպ Առաքելյանի հետ,20:40,"06 Սեպ, 2022",06,Սեպ,2022,09,2022-09-06,մեսրոպ առաքելյան
https://www.1tv.am/hy/video/Հարցազրույց-Ռուբեն-Բաբայանի-հետ/202321,https://www.youtube.com/embed/HYX9ksCur-o?autoplay=1&autohide=1,Հարցազրույց Ռուբեն Բաբայանի հետ,21:30,"05 Սեպ, 2022",05,Սեպ,2022,09,2022-09-05,ռուբեն բաբայան
