link,video_link,title,time,date
https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Կարագուլյանի-և-Վաչե-Թովմասյանի-հետ/231457,https://www.youtube.com/embed/MT9t2a7a3j8?autoplay=1&autohide=1,Հարցազրույց Կարեն Կարագուլյանի և Վաչե Թովմասյանի հետ,20:20,"04 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Երվանդ-Թարվերդյանի-հետ/231445,https://www.youtube.com/embed/vKDlqqbhRuU?autoplay=1&autohide=1,Հարցազրույց Երվանդ Թարվերդյանի հետ,22:10,"03 Մար, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Դավիթ-Առուշանյանի-հետ/231397,https://www.youtube.com/embed/SPhG9lFMvZg?autoplay=1&autohide=1,Հարցազրույց Դավիթ Առուշանյանի հետ,22:10,"28 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վահագն-Ալեքսանյանի-հետ/231379,https://www.youtube.com/embed/VP-3f82wC6o?autoplay=1&autohide=1,Հարցազրույց Վահագն Ալեքսանյանի հետ,22:10,"27 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Սերգեյ-Մինասյանի-հետ/231366,https://www.youtube.com/embed/oKH47mw0Zpw?autoplay=1&autohide=1,Հարցազրույց Սերգեյ Մինասյանի հետ,22:10,"26 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Խոսրով-Հարությունյանի-հետ/231350,https://www.youtube.com/embed/iA6jfsTpWkc?autoplay=1&autohide=1,Հարցազրույց Խոսրով Հարությունյանի հետ,22:10,"25 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Վլադիմիր-Վարդանյանի-հետ/231337,https://www.youtube.com/embed/fDJUutoThxo?autoplay=1&autohide=1,Հարցազրույց Վլադիմիր Վարդանյանի հետ,22:10,"24 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231263,https://www.youtube.com/embed/KubiymERfVA?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"20 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Տարոն-Չախոյանի-հետ/231225,https://www.youtube.com/embed/g6BXBertBbg?si=D4rdLo9ti5KLCDb9?autoplay=1&autohide=1,Հարցազրույց Տարոն Չախոյանի հետ,22:10,"18 Փտր, 2025"
https://www.1tv.am/hy/video/Հարցազրույց-Արման-Բաբաջանյանի-հետ/231205,https://www.youtube.com/embed/-ocRwHq4qqM?autoplay=1&autohide=1,Հարցազրույց Արման Բաբաջանյանի հետ,22:10,"17 Փտր, 2025"
