link,video_link,title,time,date,day,arm_month,year,month,iso_date,cleaned_title,video_id,Duration,Thumbnail_URL,Views
https://www.1tv.am/hy/video/Հարցազրույց-Լևոն-Բարսեղյանի-հետ/232064,https://www.youtube.com/embed/7utSMb_5Dkw?autoplay=1&autohide=1,Հարցազրույց Լևոն Բարսեղյանի հետ,22:10,"26 Մար, 2025",26,Մար,2025,3,2025-03-26,լևոն բարսեղյան,7utSMb_5Dkw,00:25:51,https://i.ytimg.com/vi/7utSMb_5Dkw/hqdefault.jpg,31370
https://www.1tv.am/hy/video/Հարցազրույց-Արտյոմ-Ղարաղազարյանի-հետ/232055,https://www.youtube.com/embed/JHPaKoFH3Ec?autoplay=1&autohide=1,Հարցազրույց Արտյոմ Ղարաղազարյանի հետ,20:30,"26 Մար, 2025",26,Մար,2025,3,2025-03-26,արտյոմ ղարաղազարյան,JHPaKoFH3Ec,00:21:05,https://i.ytimg.com/vi/JHPaKoFH3Ec/hqdefault.jpg,9939
https://www.1tv.am/hy/video/Հարցազրույց-Վարդան-Ղուկասյանի-հետ/232024,https://www.youtube.com/embed/foNM1cFHOTo?autoplay=1&autohide=1,Հարցազրույց Վարդան Ղուկասյանի հետ,22:10,"25 Մար, 2025",25,Մար,2025,3,2025-03-25,վարդան ղուկասյան,foNM1cFHOTo,00:28:55,https://i.ytimg.com/vi/foNM1cFHOTo/hqdefault.jpg,129531
https://www.1tv.am/hy/video/Հարցազրույց-Կարեն-Սիմոնյանի-հետ/231979,https://www.youtube.com/embed/QXe6voYx9r4?autoplay=1&autohide=1,Հարցազրույց Կարեն Սիմոնյանի հետ,22:10,"24 Մար, 2025",24,Մար,2025,3,2025-03-24,կարեն սիմոնյան,QXe6voYx9r4,00:27:51,https://i.ytimg.com/vi/QXe6voYx9r4/hqdefault.jpg,14145
https://www.1tv.am/hy/video/Հարցազրույց-Արտյոմ-Թումանյանի-հետ/231978,https://www.youtube.com/embed/NqmM11ROeBw?autoplay=1&autohide=1,Հարցազրույց Արտյոմ Թումանյանի հետ,20:30,"24 Մար, 2025",24,Մար,2025,3,2025-03-24,արտյոմ թումանյան,NqmM11ROeBw,00:24:40,https://i.ytimg.com/vi/NqmM11ROeBw/hqdefault.jpg,35228
https://www.1tv.am/hy/video/Հարցազրույց-Անդերս-Ֆոգ-Ռասմուսենի-հետ/231848,https://www.youtube.com/embed/xqMrtijccuM?autoplay=1&autohide=1,Հարցազրույց Անդերս Ֆոգ Ռասմուսենի հետ,22:10,"20 Մար, 2025",20,Մար,2025,3,2025-03-20,անդերս ֆոգ ռասմուսեն,xqMrtijccuM,00:25:40,https://i.ytimg.com/vi/xqMrtijccuM/hqdefault.jpg,48692
https://www.1tv.am/hy/video/Հարցազրույց-Քրիստինե-Վարդանյանի-հետ/231800,https://www.youtube.com/embed/2f2bBulNidU?autoplay=1&autohide=1,Հարցազրույց Քրիստինե Վարդանյանի հետ,22:10,"19 Մար, 2025",19,Մար,2025,3,2025-03-19,քրիստինե վարդանյան,2f2bBulNidU,00:33:44,https://i.ytimg.com/vi/2f2bBulNidU/hqdefault.jpg,42754
https://www.1tv.am/hy/video/Հարցազրույց-Արեգ-Քոչինյանի-հետ/231782,https://www.youtube.com/embed/HaOw3W2h5Yg?autoplay=1&autohide=1,Հարցազրույց Արեգ Քոչինյանի հետ,22:10,"18 Մար, 2025",18,Մար,2025,3,2025-03-18,արեգ քոչինյան,HaOw3W2h5Yg,00:25:46,https://i.ytimg.com/vi/HaOw3W2h5Yg/hqdefault.jpg,48257
https://www.1tv.am/hy/video/Հարցազրույց-Արսեն-Թորոսյանի-հետ/231714,https://www.youtube.com/embed/JWmKXMjNULo?autoplay=1&autohide=1,Հարցազրույց Արսեն Թորոսյանի հետ,22:10,"17 Մար, 2025",17,Մար,2025,3,2025-03-17,արսեն թորոսյան,JWmKXMjNULo,00:21:53,https://i.ytimg.com/vi/JWmKXMjNULo/hqdefault.jpg,24115
https://www.1tv.am/hy/video/Հարցազրույց-Հայկ-Կոնջորյանի-հետ/231637,https://www.youtube.com/embed/EtbizvjWz5A?autoplay=1&autohide=1,Հարցազրույց Հայկ Կոնջորյանի հետ,22:10,"14 Մար, 2025",14,Մար,2025,3,2025-03-14,հայկ կոնջորյան,EtbizvjWz5A,00:26:10,https://i.ytimg.com/vi/EtbizvjWz5A/hqdefault.jpg,43979
