,link,video_link,title,time,date,video_id,views,likes,comments,shares
1155,https://www.1tv.am/hy/video/Հարցազրույց-Հակոբ-Արշակյանի-հետ/158386,https://www.youtube.com/embed/ElM7c87pVrI?autoplay=1&autohide=1,Հարցազրույց Հակոբ Արշակյանի հետ,21:30,"21 Հլս, 2020",ElM7c87pVrI,10421,287,16,N/A
1156,https://www.1tv.am/hy/video/Հարցազրույց-Արման-Թաթոյանի-հետ/158226,https://www.youtube.com/embed/JTN-9RPMzjY?autoplay=1&autohide=1,Հարցազրույց Արման Թաթոյանի հետ,21:30,"18 Հլս, 2020",JTN-9RPMzjY,3530,56,3,N/A
1157,https://www.1tv.am/hy/video/Հարցազրույց-Վաղարշակ-Հարությունյանի-հետ/158192,https://www.youtube.com/embed/1ux_1mhCjbA?autoplay=1&autohide=1,Հարցազրույց Վաղարշակ Հարությունյանի հետ,21:30,"17 Հլս, 2020",1ux_1mhCjbA,11644,342,15,N/A
1158,https://www.1tv.am/hy/video/Հարցազրույցներ-Այգեպար-գյուղի-ռմբաստարանից/158144,https://www.youtube.com/embed/voSiFk4nsiY?autoplay=1&autohide=1,Հարցազրույցներ Այգեպար գյուղի ռմբաստարանից,20:30,"16 Հլս, 2020",voSiFk4nsiY,7724,171,11,N/A
1159,https://www.1tv.am/hy/video/Հարցազրույց-Տաթևիկ-Հայրապետյանի-հետ/158095,https://www.youtube.com/embed/VpdiCnhNgro?autoplay=1&autohide=1,Հարցազրույց Տաթևիկ Հայրապետյանի հետ,19:30,"15 Հլս, 2020",VpdiCnhNgro,4954,146,7,N/A
1160,https://www.1tv.am/hy/video/Հարցազրույց-Արծրուն-Հովհաննիսյանի-հետ/157959,https://www.youtube.com/embed/msvkzbbWTN4?autoplay=1&autohide=1,Հարցազրույց Արծրուն Հովհաննիսյանի հետ,21:30,"13 Հլս, 2020",msvkzbbWTN4,18760,383,14,N/A
1161,https://www.1tv.am/hy/video/Հարցազրույց-Վահե-Գևորգյանի-հետ/157821,https://www.youtube.com/embed/Au_LE8LGxx4?autoplay=1&autohide=1,Հարցազրույց Վահե Գևորգյանի հետ,18:25,"11 Հլս, 2020",Au_LE8LGxx4,1914,46,3,N/A
1162,https://www.1tv.am/hy/video/Հարցազրույց-Լուսինե-Հակոբյանի-հետ/157778,https://www.youtube.com/embed/62HqOd6Z-94?autoplay=1&autohide=1,Հարցազրույց Լուսինե Հակոբյանի հետ,19:30,"10 Հլս, 2020",62HqOd6Z-94,3076,112,6,N/A
1163,https://www.1tv.am/hy/video/Հարցազրույց-Արայիկ-Հարությունյանի-հետ/157703,https://www.youtube.com/embed/7IUZ74CGxkM?autoplay=1&autohide=1,Հարցազրույց Արայիկ Հարությունյանի հետ,21:30,"09 Հլս, 2020",7IUZ74CGxkM,10941,165,24,N/A
1164,https://www.1tv.am/hy/video/Հարցազրույց-Տեր-Արշակ-եպիսկոպոս-Խաչատրյանի-հետ/157668,https://www.youtube.com/embed/efq3wInsZmo?autoplay=1&autohide=1,Հարցազրույց Տեր Արշակ եպիսկոպոս Խաչատրյանի հետ,21:30,"08 Հլս, 2020",efq3wInsZmo,3053,39,39,N/A
