"U.S. Senator, Full Term (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,"Registered 
Voters",,Undervotes,Overvotes,Precinct,"STEVE GARVEY
(REP) ",,"DENICE GARY-PANDOL
(REP) ",,,"LAURA GARZA
(NPP) ",,"SEPI GILANI
(DEM) ",,,"DON J. GRUNDMANN
(NPP) ",,"FORREST JONES
(AI) ",,"BARBARA LEE
(DEM) ",,"GAIL LIGHTFOOT
(LIB) ",,"SARAH SUN LIEW
(REP) ",,"SHARLETA BASSETT
(REP) ",,"JAMES BRADLEY
(REP) ",,"MARTIN VEPRAUSKAS
(REP) ",,"ERIC EARLY
(REP) ",,"ADAM B. SCHIFF
(DEM) ",,"MAJOR SINGH
(NPP) ",,"STEFAN SIMCHOWITZ
(REP) ",,"CHRISTINA PASCUCCI
(DEM) ",,"DAVID PETERSON
(DEM) ",,"PERRY POUND
(DEM) ",,"KATIE PORTER
(DEM) ",,"DOUGLAS H. PIERCE
(DEM) ",,"RAJI RAB
(DEM) ",,"MARK RUZON
(NPP) ",,"JONATHAN REISS
(REP) ",,"JOHN ROSE
(DEM) ",,"HARMESH KUMAR
(DEM) ",,"JAMES ""JIM"" MACAULEY
(REP) ",,Total Votes,"DANNY FABRICANT
Qualified Write In 
",,"CARLOS GUILLERMO TAPIA
Qualified Write In 
",,"MICHAEL JOSEPH DILGER
Qualified Write In 
",,"JOHN DOWELL
Qualified Write In 
",
Vote by Mail,665,"2,082",,15,0,Vote by Mail,20,,0,,,1,,0,,,0,,2,,209,,0,,0,,1,,1,,0,,0,,231,,3,,0,,4,,0,,1,,174,,0,,0,,1,,1,,0,,0,,1,,650,0,,0,,0,,0,
Total,776,"2,082",,20,0,Total,27,,0,,,2,,0,,,1,,2,,262,,2,,0,,1,,2,,0,,3,,247,,4,,2,,6,,0,,1,,189,,0,,0,,1,,1,,0,,2,,1,,756,0,,0,,0,,0,
204510,,,,,,204510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,82,"2,317",,4,1,Election Day,1,,0,,,0,,0,,,0,,0,,35,,0,,1,,0,,1,,0,,0,,17,,0,,0,,0,,1,,0,,20,,0,,0,,1,,0,,0,,0,,0,,77,0,,0,,0,,0,
Vote by Mail,"1,014","2,317",,10,3,Vote by Mail,14,,0,,,1,,0,,,0,,0,,443,,3,,1,,0,,0,,0,,1,,271,,1,,0,,2,,1,,0,,261,,0,,0,,1,,0,,0,,1,,0,,"1,001",0,,0,,0,,0,
Total,"1,096","2,317",,14,4,Total,15,,0,,,1,,0,,,0,,0,,478,,3,,2,,0,,1,,0,,1,,288,,1,,0,,2,,2,,0,,281,,0,,0,,2,,0,,0,,1,,0,,"1,078",0,,0,,0,,0,
204900,,,,,,204900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,72,932,,5,0,Election Day,4,,0,,,1,,0,,,0,,0,,45,,0,,0,,0,,0,,0,,0,,4,,1,,0,,1,,0,,0,,11,,0,,0,,0,,0,,0,,0,,0,,67,0,,0,,0,,0,
Vote by Mail,141,932,,5,0,Vote by Mail,7,,0,,,1,,0,,,1,,0,,61,,0,,0,,0,,0,,0,,1,,26,,2,,1,,1,,0,,0,,35,,0,,0,,0,,0,,0,,0,,0,,136,0,,0,,0,,0,
Total,213,932,,10,0,Total,11,,0,,,2,,0,,,1,,0,,106,,0,,0,,0,,0,,0,,1,,30,,3,,1,,2,,0,,0,,46,,0,,0,,0,,0,,0,,0,,0,,203,0,,0,,0,,0,
205200,,,,,,205200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,94,"4,285",,6,0,Election Day,7,,0,,,0,,2,,,0,,0,,19,,0,,1,,0,,0,,0,,1,,32,,1,,0,,1,,0,,0,,23,,0,,0,,0,,0,,0,,1,,0,,88,0,,0,,0,,0,
Vote by Mail,"2,517","4,285",,30,7,Vote by Mail,72,,0,,,1,,1,,,0,,1,,581,,1,,0,,1,,5,,0,,5,,"1,180",,1,,3,,3,,1,,3,,616,,0,,0,,2,,0,,0,,2,,1,,"2,480",0,,0,,0,,0,
Total,"2,611","4,285",,36,7,Total,79,,0,,,1,,3,,,0,,1,,600,,1,,1,,1,,5,,0,,6,,"1,212",,2,,3,,4,,1,,3,,639,,0,,0,,2,,0,,0,,3,,1,,"2,568",0,,0,,0,,0,
205700,,,,,,205700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election Day,109,"3,634",,3,0,Election Day,9,,0,,,0,,0,,,0,,0,,29,,0,,0,,0,,0,,0,,0,,38,,0,,0,,1,,0,,0,,29,,0,,0,,0,,0,,0,,0,,0,,106,0,,0,,0,,0,
Vote by Mail,"2,192","3,634",,25,10,Vote by Mail,78,,3,,,0,,0,,,0,,0,,539,,6,,1,,0,,2,,0,,5,,980,,0,,2,,3,,1,,1,,534,,0,,0,,1,,0,,0,,0,,1,,"2,157",0,,0,,0,,0,
Total,"2,301","3,634",,28,10,Total,87,,3,,,0,,0,,,0,,0,,568,,6,,1,,0,,2,,0,,5,,"1,018",,0,,2,,4,,1,,1,,563,,0,,0,,1,,0,,0,,0,,1,,"2,263",0,,0,,0,,0,
206200,,,,,,206200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
