precinct,total_votes,candidate_name_1,candidate_name_2,candidate_name_3,candidate_name_4,candidate_name_5+,candidate_pct_1,candidate_pct_2,candidate_pct_3,candidate_pct_4,candidate_pct_5+,candidate_votes_1,candidate_votes_2,candidate_votes_3,candidate_votes_4,candidate_votes_5+,winner,spread,county
225300,850.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4294117647058823,0.2847058823529412,0.24,0.027058823529411764,0.018823529411764704,365.0,242.0,204.0,23.0,16.0,Barbara Lee,0.14470588235294113,Alameda County
225710,1479.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.47802569303583503,0.24475997295469912,0.2129817444219067,0.04192021636240703,0.02231237322515213,707.0,362.0,315.0,62.0,33.0,Barbara Lee,0.2332657200811359,Alameda County
225900,1406.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.39473684210526316,0.29658605974395447,0.25675675675675674,0.03769559032716927,0.01422475106685633,555.0,417.0,361.0,53.0,20.0,Barbara Lee,0.0981507823613087,Alameda County
244000,1543.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.4458846403110823,0.25858716785482827,0.20349967595593,0.06480881399870382,0.027219701879455604,688.0,399.0,314.0,100.0,42.0,Adam B. Schiff,0.18729747245625405,Alameda County
244300,2784.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.4802442528735632,0.23024425287356323,0.20581896551724138,0.06752873563218391,0.016163793103448277,1337.0,641.0,573.0,188.0,45.0,Adam B. Schiff,0.24999999999999997,Alameda County
244810,154.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.43506493506493504,0.2727272727272727,0.18831168831168832,0.08441558441558442,0.01948051948051948,67.0,42.0,29.0,13.0,3.0,Adam B. Schiff,0.16233766233766234,Alameda County
245000,464.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.4331896551724138,0.25,0.21982758620689655,0.06896551724137931,0.028017241379310345,201.0,116.0,102.0,32.0,13.0,Adam B. Schiff,0.1831896551724138,Alameda County
245100,1197.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3659147869674185,0.3308270676691729,0.24394319131161235,0.040100250626566414,0.01921470342522974,438.0,396.0,292.0,48.0,23.0,Adam B. Schiff,0.03508771929824561,Alameda County
245300,1114.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.4829443447037702,0.22621184919210055,0.1822262118491921,0.08707360861759425,0.02154398563734291,538.0,252.0,203.0,97.0,24.0,Adam B. Schiff,0.25673249551166966,Alameda County
260100,1639.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.338621110433191,0.33007931665649787,0.21842586943258085,0.06467358145210494,0.04820012202562538,555.0,541.0,358.0,106.0,79.0,Adam B. Schiff,0.008541793776693118,Alameda County
261300,1988.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.35563380281690143,0.3199195171026157,0.23993963782696176,0.05835010060362173,0.026156941649899398,707.0,636.0,477.0,116.0,52.0,Adam B. Schiff,0.035714285714285754,Alameda County
262000,2449.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3589220089832585,0.2997141690485913,0.2752143732135566,0.04532462229481421,0.0208248264597795,879.0,734.0,674.0,111.0,51.0,Adam B. Schiff,0.05920783993466722,Alameda County
280100,2510.0,Adam B. Schiff,Katie Porter,Barbara Lee,Steve Garvey,Other,0.47808764940239046,0.23665338645418327,0.17171314741035856,0.09043824701195219,0.023107569721115537,1200.0,594.0,431.0,227.0,58.0,Adam B. Schiff,0.2414342629482072,Alameda County
280700,2357.0,Adam B. Schiff,Katie Porter,Steve Garvey,Barbara Lee,Other,0.5044548154433602,0.1735256682223165,0.168434450572762,0.1230377598642342,0.030547305897327112,1189.0,409.0,397.0,290.0,72.0,Adam B. Schiff,0.3309291472210437,Alameda County
300110,1030.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3718446601941748,0.2262135922330097,0.16310679611650486,0.15436893203883495,0.08446601941747572,383.0,233.0,168.0,159.0,87.0,Adam B. Schiff,0.14563106796116507,Alameda County
300130,1245.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3485943775100402,0.23293172690763053,0.20642570281124498,0.13333333333333333,0.078714859437751,434.0,290.0,257.0,166.0,98.0,Adam B. Schiff,0.11566265060240966,Alameda County
300150,2360.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3949152542372881,0.20508474576271185,0.18135593220338983,0.16186440677966102,0.05677966101694915,932.0,484.0,428.0,382.0,134.0,Adam B. Schiff,0.18983050847457628,Alameda County
300300,2177.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3187873220027561,0.27285254937988057,0.2338079926504364,0.11851171336701884,0.05604042259990813,694.0,594.0,509.0,258.0,122.0,Adam B. Schiff,0.04593477262287554,Alameda County
300700,436.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.33256880733944955,0.2775229357798165,0.22935779816513763,0.13073394495412843,0.02981651376146789,145.0,121.0,100.0,57.0,13.0,Adam B. Schiff,0.05504587155963303,Alameda County
301900,2241.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3288710397144132,0.2784471218206158,0.23025435073627845,0.10887996430165105,0.0535475234270415,737.0,624.0,516.0,244.0,120.0,Barbara Lee,0.05042391789379741,Alameda County
302000,2629.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.34233548877900344,0.27462913655382276,0.21453023963484213,0.1099277291745911,0.058577405857740586,900.0,722.0,564.0,289.0,154.0,Adam B. Schiff,0.06770635222518068,Alameda County
302700,1685.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3121661721068249,0.29673590504451036,0.2344213649851632,0.09258160237388724,0.06409495548961425,526.0,500.0,395.0,156.0,108.0,Barbara Lee,0.01543026706231454,Alameda County
303800,1597.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.30619912335629307,0.2999373825923607,0.23043206011271133,0.09768315591734503,0.06574827802128992,489.0,479.0,368.0,156.0,105.0,Barbara Lee,0.0062617407639323774,Alameda County
304800,2242.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3144513826940232,0.30374665477252455,0.23238180196253344,0.08340767172167707,0.06601248884924175,705.0,681.0,521.0,187.0,148.0,Adam B. Schiff,0.010704727921498625,Alameda County
305100,1507.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3291307232913072,0.28069011280690115,0.22826808228268083,0.08626410086264101,0.0756469807564698,496.0,423.0,344.0,130.0,114.0,Barbara Lee,0.048440610484406066,Alameda County
305500,1418.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.36812411847672777,0.2630465444287729,0.22214386459802538,0.06981664315937941,0.0768688293370945,522.0,373.0,315.0,99.0,109.0,Barbara Lee,0.10507757404795487,Alameda County
305700,2089.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.3331737673528004,0.2781235040689325,0.2115844901866922,0.12589755864049784,0.051220679751077074,696.0,581.0,442.0,263.0,107.0,Adam B. Schiff,0.05505026328386792,Alameda County
310000,1750.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5331428571428571,0.22685714285714287,0.188,0.017142857142857144,0.03485714285714286,933.0,397.0,329.0,30.0,61.0,Barbara Lee,0.3062857142857143,Alameda County
310600,1789.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5600894354387926,0.22694242593627725,0.1738401341531582,0.020122973728339856,0.019005030743432086,1002.0,406.0,311.0,36.0,34.0,Barbara Lee,0.3331470095025154,Alameda County
311400,1646.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5650060753341434,0.21931956257594168,0.1701093560145808,0.013973268529769137,0.031591737545565005,930.0,361.0,280.0,23.0,52.0,Barbara Lee,0.3456865127582017,Alameda County
323200,1567.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.48117421825143586,0.22910019144862795,0.21186981493299298,0.047223994894703254,0.03063178047223995,754.0,359.0,332.0,74.0,48.0,Barbara Lee,0.2520740268028079,Alameda County
325100,1600.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4975,0.2525,0.193125,0.0275,0.029375,796.0,404.0,309.0,44.0,47.0,Barbara Lee,0.245,Alameda County
325400,1181.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5046570702794242,0.24301439458086369,0.20406435224386113,0.018628281117696866,0.029635901778154106,596.0,287.0,241.0,22.0,35.0,Barbara Lee,0.2616426756985605,Alameda County
325800,1601.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.48094940662086194,0.23797626483447845,0.23048094940662087,0.029356652092442224,0.021236727045596503,770.0,381.0,369.0,47.0,34.0,Barbara Lee,0.2429731417863835,Alameda County
333200,1187.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.46166807076663857,0.22999157540016849,0.21988205560235888,0.03706823925863521,0.051390058972198824,548.0,273.0,261.0,44.0,61.0,Barbara Lee,0.2316764953664701,Alameda County
333210,176.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.4431818181818182,0.21022727272727273,0.21022727272727273,0.028409090909090908,0.10795454545454546,78.0,37.0,37.0,5.0,19.0,Barbara Lee,0.23295454545454544,Alameda County
333410,1068.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.38108614232209737,0.25,0.22752808988764045,0.06741573033707865,0.07397003745318352,407.0,267.0,243.0,72.0,79.0,Barbara Lee,0.13108614232209737,Alameda County
333420,162.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5061728395061729,0.2222222222222222,0.09876543209876543,0.07407407407407407,0.09876543209876543,82.0,36.0,16.0,12.0,16.0,Barbara Lee,0.28395061728395066,Alameda County
333450,78.0,Adam B. Schiff,Barbara Lee,Katie Porter,Steve Garvey,Other,0.41025641025641024,0.34615384615384615,0.21794871794871795,0.02564102564102564,0.0,32.0,27.0,17.0,2.0,0.0,Adam B. Schiff,0.0641025641025641,Alameda County
333460,34.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.38235294117647056,0.35294117647058826,0.17647058823529413,0.029411764705882353,0.058823529411764705,13.0,12.0,6.0,1.0,2.0,Barbara Lee,0.029411764705882304,Alameda County
333900,695.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.49640287769784175,0.21151079136690648,0.1539568345323741,0.04460431654676259,0.09352517985611511,345.0,147.0,107.0,31.0,65.0,Barbara Lee,0.28489208633093527,Alameda County
333910,89.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.39325842696629215,0.30337078651685395,0.1348314606741573,0.07865168539325842,0.0898876404494382,35.0,27.0,12.0,7.0,8.0,Barbara Lee,0.0898876404494382,Alameda County
334000,729.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5816186556927297,0.18518518518518517,0.13991769547325103,0.037037037037037035,0.056241426611796985,424.0,135.0,102.0,27.0,41.0,Barbara Lee,0.39643347050754457,Alameda County
334520,0.0,Steve Garvey,Denice Gary-Pandol,Laura Garza,Sepi Gilani,Other,,,,,,0.0,0.0,0.0,0.0,0.0,Steve Garvey,,Alameda County
334530,0.0,Steve Garvey,Denice Gary-Pandol,Laura Garza,Sepi Gilani,Other,,,,,,0.0,0.0,0.0,0.0,0.0,Steve Garvey,,Alameda County
334600,293.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.4641638225255973,0.1945392491467577,0.14675767918088736,0.07849829351535836,0.11604095563139932,136.0,57.0,43.0,23.0,34.0,Barbara Lee,0.2696245733788396,Alameda County
334610,10.0,Barbara Lee,Katie Porter,Steve Garvey,David Peterson,Other,0.6,0.2,0.1,0.1,0.0,6.0,2.0,1.0,1.0,0.0,Barbara Lee,0.39999999999999997,Alameda County
334800,315.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.3968253968253968,0.273015873015873,0.2571428571428571,0.047619047619047616,0.025396825396825397,125.0,86.0,81.0,15.0,8.0,Barbara Lee,0.12380952380952381,Alameda County
335100,923.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5243770314192849,0.21451787648970747,0.2112676056338028,0.013001083423618635,0.03683640303358613,484.0,198.0,195.0,12.0,34.0,Barbara Lee,0.3098591549295775,Alameda County
335400,719.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5549374130737135,0.18497913769123783,0.16968011126564672,0.025034770514603615,0.06536856745479833,399.0,133.0,122.0,18.0,47.0,Barbara Lee,0.3699582753824756,Alameda County
335700,450.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4866666666666667,0.24666666666666667,0.16666666666666666,0.03333333333333333,0.06666666666666667,219.0,111.0,75.0,15.0,30.0,Barbara Lee,0.24000000000000002,Alameda County
335710,869.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5120828538550057,0.2554660529344074,0.1622554660529344,0.023014959723820484,0.047180667433831994,445.0,222.0,141.0,20.0,41.0,Barbara Lee,0.25661680092059835,Alameda County
336200,1067.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5267104029990628,0.22774133083411435,0.16588566073102157,0.020618556701030927,0.059044048734770385,562.0,243.0,177.0,22.0,63.0,Barbara Lee,0.29896907216494845,Alameda County
336610,741.0,Barbara Lee,Adam B. Schiff,Katie Porter,Steve Garvey,Other,0.573549257759784,0.17813765182186234,0.15654520917678813,0.02564102564102564,0.06612685560053981,425.0,132.0,116.0,19.0,49.0,Barbara Lee,0.3954116059379217,Alameda County
336710,837.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.5913978494623656,0.18399044205495818,0.16248506571087215,0.015531660692951015,0.04659498207885305,495.0,154.0,136.0,13.0,39.0,Barbara Lee,0.40740740740740744,Alameda County
336900,314.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.4426751592356688,0.2898089171974522,0.15605095541401273,0.050955414012738856,0.06050955414012739,139.0,91.0,49.0,16.0,19.0,Barbara Lee,0.15286624203821658,Alameda County
337110,130.0,Barbara Lee,Katie Porter,Adam B. Schiff,Steve Garvey,Other,0.3923076923076923,0.2846153846153846,0.2,0.046153846153846156,0.07692307692307693,51.0,37.0,26.0,6.0,10.0,Barbara Lee,0.1076923076923077,Alameda County
